equipment_id,date,production_rate,operating_hours,downtime_hours,operator_id,product_type,raw_material_quality,ambient_temperature,ambient_humidity
1,2024-05-17 17:16:29.041137,84.22871,22.626528,3.999142,99,TypeC,High,29.857508,37.66811
1,2024-05-18 17:16:29.041137,91.07114,20.139557,0.59345734,25,TypeC,Medium,35.89755,58.696346
1,2024-05-19 17:16:29.041137,92.17733,23.502882,1.7562122,34,TypeC,Medium,32.16856,56.717144
1,2024-05-20 17:16:29.041137,98.580086,23.471582,1.8834466,26,TypeA,High,25.65464,43.760937
1,2024-05-21 17:16:29.041137,86.7081,20.863253,0.16971962,78,TypeB,High,21.09906,67.558235
1,2024-05-22 17:16:29.041137,89.25189,20.321838,2.4097643,85,TypeA,Medium,23.949375,36.14894
1,2024-05-23 17:16:29.041137,93.740944,22.785532,2.4333477,64,TypeA,High,30.24942,32.51193
1,2024-05-24 17:16:29.041137,89.96158,22.07586,3.1428435,77,TypeA,High,28.886759,69.40391
1,2024-05-25 17:16:29.041137,84.68642,22.260527,3.275918,39,TypeC,High,31.36021,48.558548
1,2024-05-26 17:16:29.041137,85.2891,20.661634,3.1750834,24,TypeC,High,25.292126,60.494255
1,2024-05-27 17:16:29.041137,94.05104,20.667133,3.8562624,35,TypeB,Medium,25.00874,34.910725
1,2024-05-28 17:16:29.041137,94.79879,22.18798,0.66165704,80,TypeB,High,28.024889,54.606506
1,2024-05-29 17:16:29.041137,85.49013,23.019234,2.126369,13,TypeB,High,19.023422,46.60201
1,2024-05-30 17:16:29.041137,86.63651,23.436562,2.0000396,77,TypeC,High,24.645863,66.09382
1,2024-05-31 17:16:29.041137,98.03821,21.744585,3.871266,18,TypeB,High,20.834785,42.01094
1,2024-06-01 17:16:29.041137,85.29008,22.977634,1.1269522,44,TypeA,High,24.174978,67.39155
1,2024-06-02 17:16:29.041137,91.73449,20.82544,3.6830528,66,TypeC,High,19.627748,30.673378
1,2024-06-03 17:16:29.041137,90.5173,23.634237,3.422369,37,TypeA,High,21.525349,32.593525
1,2024-06-04 17:16:29.041137,89.025955,20.430601,1.5742323,73,TypeA,High,33.07446,40.658703
1,2024-06-05 17:16:29.041137,90.95598,20.048586,1.0946988,55,TypeC,High,29.632862,60.07641
